"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01041","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","443142","78","0","2018","1","N",9,0,0,0,0,0,0,0,"N",1.25,0,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","443142","78","0","2018","1","",5,17,17,15,146887,95903,621,692,"",1.46,0.32,0.33,0.29,0.25,0.33,0.21,0.78,"",0,0.0,3,21.4,4,30.8,2,15.4,28917,24.5,11920,14.2,-1810,-74.5,11,1.6
"01047","5","443142","78","0","2018","1","N",5,0,0,0,0,0,0,0,"N",1.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","443142","78","0","2018","1","",7,30,29,29,276546,177185,2586,725,"",1.49,0.44,0.43,0.44,0.55,0.43,0.56,1.25,"",-1,-12.5,-5,-14.3,-2,-6.5,-2,-6.5,-55748,-16.8,-24564,-12.2,100,4.0,-66,-8.3
"01051","5","443142","78","0","2018","1","",8,106,99,100,792302,546937,5224,599,"",1.47,1.68,1.62,1.64,1.75,1.66,1.68,1.06,"N",-2,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","443142","78","0","2018","1","",5,15,15,15,96226,84203,832,493,"",1.47,0.37,0.38,0.38,0.30,0.36,0.30,0.79,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","443142","78","0","2018","1","N",12,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",-1,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","443142","78","0","2018","1","",16,197,189,182,1971815,1220434,15108,801,"",1.37,1.30,1.28,1.24,1.48,1.45,1.72,1.16,"",2,14.3,0,0.0,2,1.1,4,2.2,80223,4.2,44442,3.8,1610,11.9,24,3.1
"01071","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","443142","78","0","2018","1","",99,1214,1219,1188,12116149,7744591,101181,772,"",1.34,1.11,1.14,1.12,0.91,1.17,1.29,0.81,"",-6,-5.7,120,11.0,149,13.9,137,13.0,1971446,19.4,1416678,22.4,20102,24.8,44,6.0
"01077","5","443142","78","0","2018","1","N",12,0,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01079","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",1.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","443142","78","0","2018","1","N",19,0,0,0,0,0,0,0,"N",1.53,0,0,0,0,0,0,0,"N",2,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","443142","78","0","2018","1","N",5,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01087","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","443142","78","0","2018","1","",59,740,724,725,6837467,4406742,59742,721,"",1.55,1.18,1.19,1.20,0.89,1.24,1.41,0.74,"",-1,-1.7,58,8.5,65,9.9,69,10.5,668965,10.8,425713,10.7,3259,5.8,8,1.1
"01091","5","443142","78","0","2018","1","",3,22,21,23,265345,158752,1417,928,"",1.46,0.96,0.95,1.05,1.37,1.23,1.01,1.39,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01093","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01095","5","443142","78","0","2018","1","",15,74,81,80,1028713,560305,11892,1010,"",1.83,0.64,0.72,0.72,1.21,0.80,1.63,1.74,"",0,0.0,-3,-3.9,5,6.6,4,5.3,-99545,-8.8,-22218,-3.8,2717,29.6,-127,-11.2
"01097","5","443142","78","0","2018","1","",72,608,600,599,7308071,4092634,62613,933,"",1.79,1.13,1.15,1.16,1.41,1.30,1.45,1.23,"",-5,-6.5,-13,-2.1,-5,-0.8,-6,-1.0,122898,1.7,-40626,-1.0,-4022,-6.0,27,3.0
"01099","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",1.71,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","443142","78","0","2018","1","",43,328,327,327,4044634,2233609,28432,950,"",1.71,0.79,0.81,0.82,1.05,1.10,1.24,1.30,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","443142","78","0","2018","1","",20,143,144,140,1272622,874503,16642,688,"",1.83,0.96,0.99,0.96,0.91,0.93,1.47,0.94,"",1,5.3,19,15.3,12,9.1,1,0.7,81629,6.9,104541,13.6,4576,37.9,-8,-1.1
"01105","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01109","5","443142","78","0","2018","1","",6,47,43,43,288188,231046,1363,500,"",2.15,1.05,0.98,0.99,0.79,0.98,0.46,0.79,"",1,20.0,18,62.1,14,48.3,13,43.3,69793,32.0,60666,35.6,-1339,-49.6,-73,-12.7
"01113","5","443142","78","0","2018","1","",4,20,21,21,237074,137820,2769,882,"",1.11,0.45,0.49,0.49,0.68,0.57,1.02,1.43,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","5","443142","78","0","2018","1","",11,39,38,39,292690,193997,1442,582,"",1.86,0.63,0.63,0.65,0.60,0.53,0.36,0.95,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","443142","78","0","2018","1","N",37,0,0,0,0,0,0,0,"N",1.61,0,0,0,0,0,0,0,"N",1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","443142","78","0","2018","1","N",6,0,0,0,0,0,0,0,"N",1.09,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","443142","78","0","2018","1","",30,274,273,253,2137350,1344504,15168,617,"",1.66,0.93,0.95,0.89,0.77,0.86,0.86,0.84,"",1,3.4,-9,-3.2,9,3.4,-28,-10.0,-47163,-2.2,-40091,-2.9,-2143,-12.4,8,1.3
"01127","5","443142","78","0","2018","1","",7,37,36,36,350684,205325,3560,742,"",1.28,0.65,0.65,0.65,0.76,0.63,0.92,1.17,"",0,0.0,-1,-2.6,-2,-5.3,-4,-10.0,-18139,-4.9,-10144,-4.7,-107,-2.9,8,1.1
"01133","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","443142","78","0","2018","1","N",11,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","443142","58","0","2018","1","",62,581,567,552,5860766,5709275,85921,796,"",0.72,0.60,0.59,0.58,0.52,0.57,0.59,0.88,"",-2,-3.1,-36,-5.8,-11,-1.9,-22,-3.8,204006,3.6,136718,2.5,-8173,-8.7,58,7.9
"02020","5","443142","78","0","2018","1","N",28,0,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,0,"N",-2,-6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","443142","78","0","2018","1","",9,49,51,52,598292,551875,8308,908,"",1.00,0.44,0.47,0.48,0.51,0.54,0.56,1.11,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","443142","78","0","2018","1","",5,11,13,9,86709,86709,1323,606,"",1.14,0.22,0.26,0.18,0.15,0.23,0.25,0.71,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02122","5","443142","78","0","2018","1","",4,39,43,35,295562,295562,4477,583,"",0.50,0.69,0.78,0.64,0.50,0.63,0.67,0.72,"",-1,-20.0,-4,-9.3,1,2.4,-7,-16.7,-97221,-24.8,-97221,-24.8,-1543,-25.6,-131,-18.3
"02130","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",1.28,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02150","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170","5","443142","78","0","2018","1","",4,10,10,9,75875,75875,1139,604,"",0.47,0.14,0.15,0.13,0.13,0.13,0.14,0.92,"",0,0.0,-2,-16.7,-1,-9.1,-1,-10.0,-12054,-13.7,-12054,-13.7,-180,-13.6,-11,-1.8
"02195","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",1.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02220","5","443142","78","0","2018","1","",3,7,7,10,39242,39242,591,377,"",2.07,0.61,0.61,0.85,0.36,0.58,0.58,0.52,"",0,0.0,0,0.0,1,16.7,4,66.7,2474,6.7,2474,6.7,-63,-9.6,-70,-15.7
"02261","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02999","5","443142","78","0","2018","1","",3,11,9,8,155744,154588,2319,1284,"",1.21,2.19,1.80,1.63,2.12,1.83,1.90,1.13,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","443142","58","0","2018","1","",506,9897,9822,9750,123233775,58822720,1020606,965,"",0.79,1.12,1.13,1.13,1.26,1.16,0.98,1.12,"",-15,-2.9,-1256,-11.3,-1143,-10.4,-1332,-12.0,-3735388,-2.9,-6879315,-10.5,-285006,-21.8,82,9.3
"04001","5","443142","78","0","2018","1","",3,8,9,8,48950,33092,1250,452,"",1.27,0.14,0.16,0.14,0.10,0.21,0.23,0.66,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04003","5","443142","78","0","2018","1","",8,149,151,152,1506567,784474,9042,769,"",0.90,1.40,1.44,1.47,1.51,1.70,0.89,1.05,"",0,0.0,20,15.5,23,18.0,28,22.6,546174,56.9,183791,30.6,-831,-8.4,187,32.1
"04005","5","443142","78","0","2018","1","N",13,0,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,0,"N",1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04007","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04009","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","443142","78","0","2018","1","",333,8013,7961,7900,104527330,48562853,871691,1010,"",0.86,1.29,1.30,1.31,1.44,1.30,1.20,1.11,"",-9,-2.6,-1154,-12.6,-1075,-11.9,-1276,-13.9,-4486955,-4.1,-6858994,-12.4,-261343,-23.1,91,9.9
"04015","5","443142","78","0","2018","1","N",13,0,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,0,"N",-1,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04017","5","443142","78","0","2018","1","N",10,0,0,0,0,0,0,0,"N",1.53,0,0,0,0,0,0,0,"N",3,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","443142","78","0","2018","1","",68,898,858,838,8740208,4671529,59579,778,"",0.92,0.77,0.76,0.75,0.76,0.79,0.53,1.00,"",-9,-11.7,-76,-7.8,-89,-9.4,-87,-9.4,-158000,-1.8,-239058,-4.9,-18679,-23.9,56,7.8
"04021","5","443142","78","0","2018","1","",9,43,47,49,429245,251909,4352,713,"",0.70,0.22,0.24,0.25,0.25,0.28,0.26,1.03,"",0,0.0,-7,-14.0,-1,-2.1,-2,-3.9,-44604,-9.4,-28556,-10.2,-1082,-19.9,-21,-2.9
"04023","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025","5","443142","78","0","2018","1","",20,190,182,185,1704913,930767,15034,706,"",0.89,0.95,0.92,0.94,1.05,0.88,0.73,1.11,"",-1,-4.8,-24,-11.2,-21,-10.3,-14,-7.0,-23863,-1.4,-49234,-5.0,-56,-0.4,58,9.0
"04027","5","443142","78","0","2018","1","N",11,0,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,0,"N",-1,-8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04999","5","443142","78","0","2018","1","N",10,0,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,0,"N",2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","443142","58","0","2018","1","",328,3255,3137,3086,28665255,20656315,346120,698,"",0.92,0.86,0.84,0.84,0.80,0.85,1.00,0.94,"",-17,-4.9,-19,-0.6,-59,-1.8,-70,-2.2,806554,2.9,-987405,-4.6,8462,2.5,30,4.5
"05001","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05003","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05005","5","443142","78","0","2018","1","N",6,0,0,0,0,0,0,0,"N",1.23,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007","5","443142","78","0","2018","1","",27,462,445,445,4144782,2984254,62096,707,"",1.04,1.23,1.21,1.22,0.68,0.88,1.62,0.56,"",-3,-10.0,51,12.4,42,10.4,34,8.3,359719,9.5,167129,5.9,4724,8.2,-6,-0.8
"05009","5","443142","78","0","2018","1","N",4,0,0,0,0,0,0,0,"N",1.03,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05015","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05019","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05021","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05023","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05027","5","443142","78","0","2018","1","N",4,0,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05029","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05031","5","443142","78","0","2018","1","",24,227,220,211,1772310,1272695,20761,622,"",2.13,1.42,1.41,1.36,1.38,1.31,1.68,0.98,"",1,4.3,-25,-9.9,-18,-7.6,-23,-9.8,-64901,-3.5,-231199,-15.4,1164,5.9,36,6.1
"05033","5","443142","78","0","2018","1","",5,26,25,24,239538,157858,2123,737,"",1.01,0.42,0.41,0.40,0.53,0.36,0.43,1.29,"",-1,-16.7,-6,-18.8,-10,-28.6,-8,-25.0,-33838,-12.4,-48840,-23.6,-2546,-54.5,100,15.7
"05035","5","443142","78","0","2018","1","",6,18,16,17,217536,137702,2014,984,"",1.25,0.35,0.32,0.34,0.56,0.41,0.42,1.65,"",-1,-14.3,-28,-60.9,-29,-64.4,-31,-64.6,-142095,-39.5,-152225,-52.5,-2426,-54.6,387,64.8
"05037","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05039","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",2.06,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05043","5","443142","78","0","2018","1","N",4,0,0,0,0,0,0,0,"N",1.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05045","5","443142","78","0","2018","1","N",13,0,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,0,"N",-1,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05047","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05051","5","443142","78","0","2018","1","N",13,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",-1,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05053","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05055","5","443142","78","0","2018","1","",4,20,19,19,135394,125471,2039,539,"",1.11,0.41,0.40,0.40,0.37,0.40,0.33,0.90,"",0,0.0,1,5.3,0,0.0,-1,-5.0,-12858,-8.7,-15584,-11.0,645,46.3,-51,-8.6
"05057","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05059","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05061","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05063","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05067","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05069","5","443142","78","0","2018","1","N",11,0,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05071","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05075","5","443142","78","0","2018","1","N",2,0,0,0,0,0,0,0,"N",1.21,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05079","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05083","5","443142","78","0","2018","1","N",3,0,0,0,0,0,0,0,"N",1.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05085","5","443142","78","0","2018","1","",6,17,18,17,84614,76084,596,376,"",1.16,0.39,0.43,0.40,0.28,0.30,0.21,0.69,"",0,0.0,-4,-19.0,-5,-21.7,-4,-19.0,-8397,-9.0,-10161,-11.8,-472,-44.2,46,13.9
"05087","5","443142","78","0","2018","1","N",1,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
